"鄉鎮市區","交易標的","ADDRESS","土地移轉總面積.平方公尺.","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積.平方公尺.","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價.元.","單價.元.平方公尺.","車位類別","車位移轉總面積.平方公尺.","車位總價.元.","交易標的橫坐標","交易標的縱坐標","有無備註欄.Y.N.","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","AddressNew","Geometry"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街８號四樓",19.12,"其他","","",1100527,"土地1建物1車位1","四層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,126.8,2,1,1,"有","有",14710000,143131,"坡道平面",38,2000000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPRQMLNJQHGGFBF18DA",53.48,4.74,0,"有","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１０號十樓",19.6,"其他","","",1091227,"土地1建物1車位1","十層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,129.13,2,1,1,"有","有",15260000,144409,"坡道平面",38,2100000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPVSMLNJQHGGFBF78DA",54.97,4.74,0,"有","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１０號十一樓",19.6,"其他","","",1100207,"土地1建物1車位1","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,129.13,2,1,1,"有","有",15640000,147482,"坡道平面",38,2200000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPWSMLNJQHGGFBF88DA",54.97,4.74,0,"有","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１０號十二樓",19.6,"其他","","",1100207,"土地1建物1車位1","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,129.13,2,1,1,"有","有",15860000,150993,"坡道平面",38,2100000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPOTMLNJQHGGFBF18DA",54.97,4.74,0,"有","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街８號八樓",19.12,"其他","","",1100410,"土地1建物1車位1","八層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,125.13,2,1,1,"有","有",14980000,146734,"坡道平面",36.33,1950000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPPRMLNJQHGGFBF08DA",53.48,4.74,0,"有","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１０號四樓",19.6,"其他","","",1100123,"土地1建物1車位1","四層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,127.45,2,1,1,"有","有",14950000,141572,"坡道平面",36.33,2050000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPQSMLNJQHGGFBF28DA",54.97,4.74,0,"有","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１０號五樓",19.6,"其他","","",1091226,"土地1建物1車位1","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,129.13,2,1,1,"有","有",14900000,140459,"坡道平面",38,2100000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPRSMLNJQHGGFBF38DA",54.97,4.74,0,"有","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福美街９號四樓",21.76,"其他","","",1100312,"土地1建物1車位1","四層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1091120,223.2,3,2,2,"有","有",24550000,120693,"坡道平面",38.02,2200000,296453,2771705,"N","","RPVOMLTKLHGGFBF58DA",108.39,16.17,0,"有","新北市新莊區頭前里福美街9號","POINT (121.4602608471961 25.052708432769212)"
"板橋區","房地(土地+建物)+車位","新北市板橋區漢生東路２７６之１號六樓",17.87,"其他","","",1100625,"土地1建物1車位2","六層","二十九層","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造",960907,278,4,2,3,"有","有",52300000,188129,"坡道機械",22.18,0,297312,2767238,"N","","RPVUMLSLOHGGFAF76DA",159.62,26.27,0,"有","新北市板橋區深丘里漢生東路276之1號","POINT (121.4689623996213 25.012045614432459)"
"板橋區","房地(土地+建物)","新北市板橋區四川路二段９９之１２號五樓",27.2,"其他","","",1100529,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680815,88.5,4,2,2,"有","無",8200000,92655,"",0,0,295633,2765234,"N","","RPRPMLTJPHGGFAF48DA",84.75,3.75,0,"無","新北市板橋區華德里四川路二段99之12號","POINT (121.4520111970555 24.994431804113351)"
"板橋區","房地(土地+建物)","新北市板橋區國慶路１４９巷１弄９號五樓",17.56,"其他","","",1100716,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700409,69.63,3,2,2,"有","無",7850000,112739,"",0,0,296540,2765488,"Y","陽台外推；其他增建；","RPWQMLQKPHGGFAF88DA",55.97,13.66,0,"無","新北市板橋區重慶里國慶路149巷1弄9號","POINT (121.460966936144 24.996419495190381)"
"土城區","房地(土地+建物)+車位","新北市土城區青雲路３５０之７號十四樓",15.12,"其他","","",1091126,"土地1建物1車位1","十四層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100603,110.87,2,1,2,"有","有",9580000,93636,"坡道平面",31.52,2150000,296282,2763030,"Y","預售屋、或土地及建物分件登記案件；","RPXPNLPKPHGGFAF88DA",50.45,3.07,0,"有","新北市土城區清和里青雲路350之7號","POINT (121.457953959669 24.974589305515131)"
"新店區","房地(土地+建物)+車位","新北市新店區安祥路１１０巷３０弄３號九樓",70.32,"","山坡地保育區","丙種建築用地",1100605,"土地1建物1車位1","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",850106,188.11,4,2,2,"有","有",8800000,46781,"坡道平面",41.61,0,297846,2761055,"Y","陽台外推；","RPQOMLKMPHGGFCF97EA",157.03,19.11,0,"有","新北市新店區香坡里安祥路110巷30弄3號","POINT (121.474123451616 24.956461706827291)"
